date,feature1,feature2,feature3,Positive,Negative,Subjectivity,close,change
1499011200,1341767.819,4.572259321,27.12469921,82,64,4,44.01,0.62
1499184000,1523147.319,5.501361484,23.9876362,0,200,6,44.35,0.06
1499270400,-1704651.181,0.327097374,39.16422363,40,220,8,44.315,0.23
1499356800,-6361787.181,-3.888935766,58.55020705,89,89,11,43.815,0.19
1499616000,-5738030.681,1.538670663,57.89209017,40,60,6,43.585,-0.15
1499702400,-3411496.681,8.464227668,50.04915567,67,12,3,43.565,-0.55
1499788800,-3952580.181,13.76393827,36.82473715,120,20,8,43.955,0.53
1499875200,-5449221.181,17.24999582,21.1134602,37,64,6,43.965,0.08
1499961600,-5270466.181,20.43924017,1.935130457,200,0,16,43.625,-0.07
1500220800,-4458486.181,22.00419854,-18.06483538,38,50,8,43.62,0.86
1500307200,2217426.319,21.60654395,-29.65353168,12,156,7,43.185,-0.13
1500393600,4290479.319,17.67312278,-37.37534761,40,30,4,42.78,-0.11
1500480000,1169396.819,11.23713918,-42.1829559,0,350,12,42.91,-0.26
1500566400,-2399010.181,4.420277029,-42.69235727,13,300,9,43.115,-0.28
1500825600,-5808965.181,-1.398446824,-41.50332604,50,50,5,43.415,-0.1
1500912000,-3170577.681,-3.39655868,-40.8720936,50,0,2,43.625,0.03
1500998400,-4168431.181,-10.05347087,-27.14828699,34,17,4,43.665,-0.09
1501084800,-3594852.681,-18.2480991,2.510636624,50,25,3,43.7,0.49
1501171200,442236.3187,-19.37718597,26.1845404,58,43,4,43.48,-0.23
1501430400,13654457.32,-15.01363201,50.22212699,50,100,8,43.335,-1.54
1501516800,17053304.32,-8.416432703,56.99861884,40,60,3,44.31,-0.29
1501603200,5324900.319,-4.752431783,50.52896516,50,50,3,45.32,-0.2
1501689600,716899.8187,-1.811187952,50.88478819,40,80,4,45.59,-0.21
1501776000,-2884120.181,4.331036722,39.09993579,75,75,3,45.815,-0.34
1502035200,-4668252.181,10.81127542,20.64410803,100,0,4,46.115,0.24
1502121600,-3224889.681,13.21291658,10.82396491,88,38,5,46.17,0.3
1502208000,-2316935.181,11.36551547,10.71980465,91,73,10,45.875,-0.02
1502294400,-3624870.681,2.362671888,33.81256643,86,100,12,45.72,0.39
1502380800,-4015450.681,-0.037731438,47.95432559,85,77,8,45.515,0.78
1502640000,-1051540.681,11.78383615,22.83347103,40,20,4,44.87,0.53
1502726400,997170.3188,20.76814699,-8.909918597,57,79,5,44.15,-0.88
1502812800,-2445171.181,20.79551594,-31.84537022,46,95,7,44.345,0.49
1502899200,-4266720.181,7.323048195,-11.99638792,30,136,8,44.56,-0.38
1502985600,-2660786.181,-9.207887432,38.27297866,42,98,9,44.5,0.45
1503244800,-2365347.681,-11.99967827,64.77424035,46,96,8,44.46,0.45
1503331200,-1551021.181,-3.535357969,61.90903947,50,25,5,43.96,-0.03
1503417600,-1114927.681,3.891077588,54.98193995,28,46,3,43.725,-0.46
1503504000,-1609544.181,7.991979656,50.87506452,24,54,4,43.995,0.15
1503590400,-550698.6813,13.75496014,38.86410853,50,63,6,44.17,-0.43
1503849600,-172930.1813,17.34428869,26.0659372,67,0,4,44.325,-0.06
1503936000,-3139879.181,19.8676952,6.518939163,70,30,5,44.595,0.04
1504022400,-3138767.681,22.55242727,-16.68564487,37,91,6,44.61,1.17
1504108800,-4037501.681,21.49141371,-36.10827285,113,75,9,43.945,0.27
1504195200,-5638627.681,17.49178754,-50.43408265,50,50,5,43.15,-0.31
1504540800,-2394049.181,7.383422149,-37.79371112,34,17,4,43.17,0.82
1504627200,-683724.6812,-2.22206509,-17.80803752,73,46,6,42.885,-0.07
1504713600,-441432.6812,-6.271247418,-6.450567567,67,67,6,42.47,1.21
1504800000,1574975.819,-11.73213687,18.11519027,0,100,5,41.84,0.4
1505059200,6288525.319,-6.033006997,18.2548998,29,43,3,40.95,-0.99
1505145600,8091438.319,5.824370734,-10.78304305,88,38,6,41.275,0.56
1505232000,7045870.819,6.679281874,-22.00222207,78,45,6,41.51,0.14
1505318400,6382027.319,2.573392497,-19.14553039,42,92,8,41.29,0.33
1505404800,9719130.319,3.61022578,-24.79039278,160,40,9,41.195,-1.69
1505664000,23227780.32,7.424652035,-28.43770967,63,90,7,41.95,1.11
1505750400,23180283.32,4.67396217,-30.59558883,70,30,5,42.275,-0.92
1505836800,11140650.82,-0.853208564,-37.55636833,34,34,3,42.17,-1.24
1505923200,7658200.819,-4.236751443,-38.70010813,28,46,4,43.37,1.47
1506009600,8066833.319,-5.86164433,-38.66112621,37,55,6,43.24,-0.58
1506268800,7961278.819,-6.105179313,-42.76872309,70,80,8,42.745,-1.11
1506355200,3345742.819,-8.898176526,-44.909868,46,55,5,43.69,-0.05
1506441600,-9764.681225,-13.99704828,-36.06726018,17,34,2,44.34,0.09
1506528000,2093189.819,-17.73728216,-18.69619327,20,40,3,44.32,-0.67
1506614400,18752832.82,-13.25144822,-2.861980082,45,67,4,44.64,-0.29
1506873600,17145991.82,-9.297539149,-8.06458299,45,12,3,45.17,0.04
1506960000,-347987.1812,-9.556269738,-24.42808057,56,123,9,45.305,0.11
1507046400,-402564.1812,-10.90193551,-18.6893219,90,140,9,45.22,-0.35
1507132800,-1823179.681,-15.98321876,0.597607884,75,25,5,45.355,0.16
1507219200,-2413322.181,-15.12108634,9.1159346,70,20,4,45.46,0.93
1507478400,-1420458.181,-8.234376808,0.352696114,63,63,8,44.855,0.13
1507564800,-1518705.681,-6.327305931,-0.119617683,43,29,3,44.27,-0.08
1507651200,-696513.6813,-7.610623483,10.10135421,34,0,3,44.245,-0.21
1507737600,-662903.1813,-10.98127643,30.07491562,130,70,7,44.405,0.41
1507824000,2796151.319,-10.09577844,47.50621542,72,0,3,44.29,0.23
1508083200,7822481.819,-1.061304584,42.84709716,0,115,3,43.93,-0.88
1508169600,6841063.819,5.585633064,30.64244019,59,34,5,44.29,-0.23
1508256000,4473563.819,8.247177892,22.07575123,47,39,4,44.91,-0.29
1508342400,4916510.819,11.79696575,9.793733426,40,60,7,45.2,1.22
1508428800,4097569.819,16.14745838,-12.79180708,85,131,9,44.68,0.95
1508688000,3155825.319,14.91371965,-25.3452016,48,35,3,43.47,-0.33
