date,senti_0,senti_1,senti_2,senti_3,senti_4
1499011200,5,21,33,31,10
1499097600,7,24,35,27,7
1499184000,6,23,40,26,5
1499270400,7,24,37,25,6
1499356800,8,26,35,25,6
1499443200,7,23,40,24,6
1499529600,9,28,27,29,7
1499616000,5,20,37,29,8
1499702400,7,24,34,27,7
1499788800,8,25,35,25,6
1499875200,7,24,37,26,6
1499961600,7,24,33,29,8
1500048000,8,27,33,26,6
1500134400,5,20,38,30,8
1500220800,7,25,35,27,7
1500307200,8,26,34,25,6
1500393600,7,23,34,28,8
1500480000,9,27,34,24,6
1500566400,8,25,37,24,6
1500652800,9,27,37,23,5
1500739200,8,24,39,26,3
1500825600,7,25,34,27,7
1500912000,7,24,36,26,7
1500998400,7,26,37,25,6
1501084800,8,23,35,27,7
1501171200,8,25,33,26,8
1501257600,8,27,36,24,5
1501344000,9,26,39,22,4
1501430400,7,24,37,26,6
1501516800,7,24,37,25,6
1501603200,7,22,37,27,8
1501689600,8,25,32,27,8
1501776000,6,21,34,30,9
1501862400,5,22,40,27,6
1501948800,6,22,37,29,6
1502035200,7,26,35,26,7
1502121600,6,23,34,29,7
1502208000,7,26,35,26,6
1502294400,10,30,33,22,6
1502380800,9,26,34,24,6
1502467200,8,26,38,23,5
1502553600,8,27,36,24,5
1502640000,7,26,33,27,7
1502726400,8,27,33,26,6
1502812800,8,26,35,26,6
1502899200,8,26,36,25,6
1502985600,9,27,35,24,5
1503072000,6,21,38,29,7
1503158400,8,28,23,27,13
1503244800,9,27,32,26,6
1503331200,7,24,34,28,8
1503417600,7,22,35,29,8
1503504000,9,26,34,25,6
1503590400,8,27,32,26,7
1503676800,6,24,36,27,7
1503763200,5,18,37,30,10
1503849600,6,23,35,27,9
1503936000,7,24,39,24,6
1504022400,6,22,33,30,9
1504108800,7,24,36,26,6
1504195200,7,24,32,29,8
1504281600,5,17,37,32,8
1504368000,4,17,33,34,11
1504454400,7,25,37,25,7
1504540800,6,21,39,26,7
1504627200,8,24,33,28,7
1504713600,8,25,35,26,7
1504800000,8,27,35,25,6
1504886400,6,24,31,30,10
1504972800,4,21,41,28,7
1505059200,7,24,34,28,7
1505145600,6,21,39,28,7
1505232000,7,25,37,25,6
1505318400,6,23,35,28,8
1505404800,7,23,35,28,7
1505491200,7,22,36,27,8
1505577600,6,19,31,34,11
1505664000,7,24,32,29,8
1505750400,7,24,35,27,7
1505836800,8,25,33,28,7
1505923200,7,26,37,25,5
1506009600,8,26,36,25,6
1506096000,8,25,34,25,8
1506182400,8,27,30,26,9
1506268800,9,27,35,24,5
1506355200,7,24,35,27,7
1506441600,8,26,34,25,6
1506528000,8,26,34,26,7
1506614400,8,25,32,27,7
1506700800,7,27,30,28,8
1506787200,6,22,34,31,8
1506873600,8,26,32,27,7
1506960000,7,22,34,29,8
1507046400,7,24,35,27,7
1507132800,5,21,37,30,7
1507219200,8,23,33,28,8
1507305600,11,29,31,24,6
1507392000,10,27,30,25,7
1507478400,8,26,36,24,5
1507564800,8,26,33,26,6
1507651200,8,26,33,25,8
1507737600,7,24,32,29,8
1507824000,7,24,36,26,6
1507910400,6,22,29,36,8
1507996800,6,24,37,26,7
1508083200,8,23,31,30,8
1508169600,8,25,34,26,7
1508256000,7,23,32,30,8
1508342400,9,29,33,24,5
1508428800,7,24,39,26,5
1508515200,11,27,27,26,8
1508601600,9,30,30,24,6
1508688000,9,26,33,26,6
1508774400,7,23,34,28,7
1508860800,7,25,35,26,6
1508947200,7,25,31,28,8
1509033600,8,25,33,27,8
1509120000,8,24,33,28,8
1509206400,7,23,33,29,8
1509292800,8,24,34,26,7
1509379200,7,25,34,27,7
1509465600,7,24,33,28,8
1509552000,8,26,34,25,6
1509638400,7,24,35,27,7
1509724800,9,24,32,27,8
1509811200,6,22,46,20,5
1509897600,7,24,35,27,7
1509984000,7,24,36,27,6
1510070400,7,24,35,26,7
1510156800,7,23,34,28,8
1510243200,8,26,31,27,8
1510329600,7,22,32,29,10
1510416000,10,29,34,22,5
1510502400,6,23,32,31,9
1510588800,8,27,36,24,5
1510675200,9,27,33,25,6
1510761600,7,25,34,27,8
1510848000,8,27,33,26,7
1510934400,9,24,28,31,9
1511020800,8,29,33,24,6
1511107200,8,24,33,27,8
1511193600,7,23,32,29,8
1511280000,7,24,34,28,8
1511366400,9,26,30,28,8
1511452800,11,28,29,25,7
1511539200,8,27,40,22,4
1511625600,4,15,33,38,11
1511712000,8,24,31,28,9
1511798400,10,28,35,22,5
1511884800,8,25,33,27,8
1511971200,7,24,31,29,8
1512057600,8,26,32,25,7
1512144000,9,24,29,29,9
1512230400,5,19,29,33,14
1512316800,8,28,36,24,4
1512403200,7,25,31,29,8
1512489600,9,27,32,26,7
1512576000,8,25,32,28,8
1512662400,7,25,34,27,7
1512748800,7,26,37,25,5
1512835200,8,21,35,29,7
1512921600,6,23,31,30,10
1513008000,7,24,33,28,8
1513094400,6,22,33,30,9
1513180800,7,24,35,27,7
1513267200,8,27,31,27,6
1513353600,9,26,36,22,7
1513440000,9,30,26,27,8
1513526400,7,23,36,27,7
1513612800,9,28,30,25,7
1513699200,8,26,32,27,7
1513785600,8,27,31,27,7
1513872000,8,24,32,29,8
1513958400,10,32,32,22,4
1514044800,10,33,33,21,4
1514131200,7,29,38,23,3
1514217600,8,26,39,22,5
1514304000,7,23,34,28,7
1514390400,7,25,34,27,6
1514476800,8,26,31,27,8
1514563200,8,27,33,24,7
1514649600,8,23,36,26,7
1514736000,9,21,39,23,7
1514822400,8,24,36,26,6
1514908800,7,25,34,26,7
1514995200,9,29,32,23,6
1515081600,9,25,32,26,7
1515168000,8,23,30,30,9
1515254400,7,22,37,28,7
1515340800,8,25,33,27,7
1515427200,7,26,37,24,6
1515513600,8,26,34,26,6
1515600000,8,26,35,25,6
1515686400,8,25,33,27,7
1515772800,11,34,29,21,5
1515859200,9,28,28,27,9
1515945600,4,18,40,31,7
1516032000,7,23,38,26,6
1516118400,9,27,35,24,6
1516204800,8,26,35,25,6
1516291200,7,27,36,25,6
1516377600,6,22,30,32,10
1516464000,5,20,31,34,11
1516550400,7,25,35,26,7
1516636800,7,23,34,28,8
1516723200,7,23,40,24,5
1516809600,8,25,36,26,5
1516896000,7,23,34,29,8
1516982400,8,27,33,26,6
1517068800,10,29,31,23,7
1517155200,8,27,37,22,5
1517241600,8,25,37,24,6
1517328000,8,26,33,26,6
1517414400,7,26,38,23,6
1517500800,10,28,34,23,5
1517587200,6,25,29,30,10
1517673600,4,19,53,19,3
1517760000,11,29,33,22,5
1517846400,9,27,36,24,5
1517932800,7,25,37,25,6
1518019200,7,24,37,25,6
1518105600,8,25,32,28,8
1518192000,8,27,35,25,6
1518278400,8,28,36,23,5
1518364800,7,24,36,27,7
1518451200,8,25,36,26,6
1518537600,7,26,38,25,5
1518624000,9,26,31,27,7
1518710400,10,30,32,22,6
1518796800,10,29,30,26,6
1518883200,8,22,32,28,10
1518969600,12,27,37,20,4
1519056000,8,24,30,29,9
1519142400,8,26,38,23,5
1519228800,7,24,31,30,9
1519315200,7,24,30,30,9
1519401600,9,26,31,28,6
1519488000,6,21,33,30,10
1519574400,7,25,35,26,6
1519660800,5,20,37,30,9
1519747200,7,24,33,27,9
1519833600,7,25,30,29,9
1519920000,10,28,32,23,7
1520006400,7,25,35,26,6
1520092800,7,27,38,24,5
1520179200,5,21,34,31,9
1520265600,9,25,33,26,7
1520352000,6,23,33,29,9
1520438400,8,25,32,28,7
1520524800,7,24,37,27,5
1520611200,10,32,30,23,5
1520697600,7,25,31,29,8
1520784000,6,23,36,28,8
1520870400,6,23,33,29,8
1520956800,8,27,36,24,5
1521043200,9,25,34,26,6
1521129600,8,23,31,29,9
1521216000,6,18,32,33,10
1521302400,8,26,27,27,11
1521388800,7,24,39,24,6
1521475200,7,24,35,26,7
1521561600,7,25,36,27,5
1521648000,8,24,31,28,8
1521734400,9,27,33,25,6
1521820800,9,25,31,28,8
1521907200,9,23,47,17,5
1521993600,8,25,31,28,8
1522080000,7,24,36,27,7
1522166400,8,27,35,25,6
1522252800,8,24,32,28,8
1522339200,8,25,34,25,7
1522425600,4,18,37,32,8
1522512000,9,34,34,19,4
1522598400,8,25,35,26,7
1522684800,9,28,34,24,6
1522771200,8,24,34,27,7
1522857600,8,27,31,26,7
1522944000,7,23,33,28,9
1523030400,6,20,21,35,18
1523116800,9,28,35,24,5
1523203200,7,25,34,26,7
1523289600,7,24,37,25,7
