date,senti_0,senti_1,senti_2,senti_3,senti_4
1499011200,12,27,33,23,6
1499097600,12,28,29,24,7
1499184000,7,20,31,31,11
1499270400,7,25,39,24,5
1499356800,9,28,30,27,7
1499443200,2,8,17,47,26
1499616000,8,27,35,24,6
1499702400,6,22,31,31,10
1499788800,7,23,35,28,7
1499875200,8,26,31,28,7
1499961600,6,18,32,31,12
1500048000,8,26,24,32,10
1500134400,10,25,28,28,10
1500220800,9,29,32,24,6
1500307200,9,28,33,25,6
1500393600,8,28,31,26,7
1500480000,8,28,33,24,6
1500566400,7,26,33,26,8
1500652800,6,20,29,34,10
1500739200,18,33,34,13,2
1500825600,6,22,39,28,6
1500912000,7,24,32,28,9
1500998400,11,29,32,23,5
1501084800,8,26,33,25,8
1501171200,7,24,38,25,6
1501257600,5,20,32,33,9
1501344000,3,14,55,25,3
1501430400,5,21,34,31,9
1501516800,7,25,31,29,9
1501603200,8,24,32,28,8
1501689600,6,22,33,29,10
1501776000,6,24,31,31,8
1501862400,6,23,45,22,4
1501948800,0,4,81,15,0
1502035200,7,28,35,23,6
1502121600,8,24,32,28,8
1502208000,6,20,32,31,10
1502294400,7,26,36,24,6
1502380800,8,25,33,27,8
1502467200,6,22,38,28,6
1502553600,8,27,30,29,5
1502640000,7,27,37,24,5
1502726400,8,26,41,22,4
1502812800,8,28,33,25,5
1502899200,7,27,36,24,6
1502985600,7,25,35,26,7
1503072000,4,18,31,39,7
1503158400,3,12,24,41,20
1503244800,4,20,37,31,7
1503331200,8,23,35,27,7
1503417600,8,29,38,21,3
1503504000,12,30,31,21,6
1503590400,9,24,30,28,9
1503676800,18,37,27,15,3
1503763200,2,11,26,43,18
1503849600,8,27,32,25,8
1503936000,7,24,36,26,8
1504022400,8,25,32,27,7
1504108800,8,28,35,24,5
1504195200,7,24,31,30,8
1504281600,10,18,20,33,18
1504368000,20,25,17,26,12
1504454400,7,24,40,25,5
1504540800,9,29,35,23,4
1504627200,7,26,31,28,7
1504713600,6,22,35,30,8
1504800000,7,24,30,30,9
1504886400,8,37,43,11,1
1504972800,4,18,27,37,15
1505059200,9,22,41,22,6
1505145600,6,20,29,33,12
