date,senti_0,senti_1,senti_2,senti_3,senti_4
1499011200,9,28,34,23,6
1499097600,6,23,41,25,6
1499184000,7,23,36,27,7
1499270400,8,25,31,28,8
1499356800,8,25,31,28,8
1499443200,14,34,25,21,7
1499529600,9,27,24,32,8
1499616000,6,20,35,30,9
1499702400,7,21,35,29,9
1499788800,6,23,34,28,8
1499875200,5,20,33,32,10
1499961600,7,25,34,27,7
1500048000,9,28,29,28,6
1500134400,11,27,37,22,3
1500220800,7,23,33,29,8
1500307200,8,25,33,28,7
1500393600,9,25,28,29,9
1500480000,8,24,37,26,6
1500566400,8,24,38,24,5
1500652800,8,23,30,30,9
1500739200,5,22,53,19,2
1500825600,7,23,36,26,7
1500912000,8,23,31,28,10
1500998400,10,29,35,21,5
1501084800,8,25,36,25,7
1501171200,9,27,29,27,9
1501257600,10,32,32,23,4
1501344000,8,28,30,26,8
1501430400,9,29,33,24,4
1501516800,6,23,39,26,6
1501603200,9,23,28,30,10
1501689600,8,28,36,24,4
1501776000,9,28,32,25,5
1501862400,8,25,26,31,9
1501948800,3,18,39,31,9
1502035200,11,27,29,26,7
1502121600,8,27,32,26,7
1502208000,7,27,35,25,6
1502294400,9,28,37,21,5
1502380800,8,25,33,26,8
1502467200,7,23,40,24,6
1502553600,5,17,34,32,12
1502640000,8,24,37,24,6
1502726400,9,26,37,23,5
1502812800,10,29,31,24,6
1502899200,10,27,31,25,7
1502985600,9,29,30,24,7
1503072000,13,17,24,38,9
1503158400,9,24,34,24,9
1503244800,7,22,34,29,7
1503331200,6,23,37,28,7
1503417600,8,21,37,27,7
1503504000,7,24,32,29,8
1503590400,9,28,33,24,6
1503676800,7,25,28,32,8
1503763200,5,20,35,32,8
1503849600,5,22,37,29,7
1503936000,5,20,37,30,8
1504022400,7,21,31,31,10
1504108800,6,22,35,28,8
1504195200,8,28,37,23,5
1504281600,5,20,51,21,3
1504368000,2,12,27,46,14
1504454400,9,22,33,27,8
1504540800,8,24,35,27,7
1504627200,7,23,35,28,8
1504713600,6,23,37,28,7
1504800000,6,21,35,31,8
1504886400,10,33,29,23,5
1504972800,2,13,37,38,10
1505059200,9,24,31,28,8
1505145600,8,26,36,24,7
1505232000,9,28,36,22,5
1505318400,6,24,33,29,9
1505404800,11,35,30,20,4
1505491200,11,27,32,24,6
1505577600,7,25,41,23,5
1505664000,8,26,29,29,8
1505750400,6,23,37,26,7
1505836800,6,22,31,32,9
1505923200,9,28,34,24,5
1506009600,5,20,31,33,10
1506096000,7,20,39,25,10
1506182400,2,9,35,38,16
1506268800,7,24,32,28,8
1506355200,7,23,34,28,8
1506441600,7,23,34,28,8
1506528000,8,23,34,27,8
1506614400,7,24,32,28,10
1506700800,7,23,21,33,15
1506787200,13,28,30,22,6
1506873600,9,25,37,24,6
1506960000,8,27,31,26,8
1507046400,8,26,33,26,7
1507132800,7,24,34,27,7
1507219200,6,22,34,29,9
1507305600,11,29,31,23,6
1507392000,6,22,21,35,15
1507478400,7,25,35,27,6
1507564800,9,29,35,23,4
1507651200,8,30,32,24,6
1507737600,9,25,29,28,8
1507824000,8,25,29,28,9
1507910400,12,37,29,19,3
1507996800,4,18,38,31,9
1508083200,6,22,34,30,8
1508169600,8,27,35,25,6
1508256000,8,27,35,25,6
1508342400,6,21,38,28,8
1508428800,9,27,36,23,5
1508515200,12,29,26,26,6
1508601600,9,33,35,19,4
1508688000,8,26,35,25,6
1508774400,6,21,33,30,9
1508860800,7,24,31,29,9
1508947200,8,27,33,26,6
1509033600,6,22,31,30,11
1509120000,7,24,28,30,11
1509206400,8,28,33,26,6
1509292800,5,21,32,33,8
1509379200,5,20,37,30,7
1509465600,6,23,32,30,8
1509552000,8,26,33,26,7
1509638400,6,22,32,30,9
1509724800,12,24,21,30,14
1509811200,3,16,36,36,8
1509897600,5,20,33,32,10
1509984000,6,21,30,32,11
1510070400,7,24,33,28,8
1510156800,8,25,32,28,7
1510243200,9,27,31,26,7
1510329600,4,17,29,37,13
1510416000,5,19,34,32,10
1510502400,8,25,28,29,9
