date,senti_0,senti_1,senti_2,senti_3,senti_4
1499011200,8,29,31,26,6
1499097600,9,23,39,24,5
1499184000,8,29,25,28,10
1499270400,15,32,31,19,4
1499356800,8,21,27,35,10
1499529600,11,34,31,21,4
1499616000,5,25,30,29,10
1499702400,12,29,21,28,9
1499788800,3,16,38,32,11
1499875200,8,29,35,23,4
1499961600,1,6,44,34,15
1500048000,8,26,36,28,3
1500220800,7,26,25,33,8
1500307200,14,38,30,16,2
1500393600,5,17,23,41,14
1500480000,8,29,40,20,3
1500566400,10,33,30,21,7
1500739200,2,12,21,54,12
1500825600,7,25,41,22,6
1500912000,2,8,20,49,22
1500998400,7,26,42,22,4
1501084800,9,21,29,31,9
1501171200,7,26,32,28,6
1501257600,5,20,35,32,8
1501430400,9,32,23,31,4
1501516800,5,23,38,28,6
1501603200,7,26,37,26,4
1501689600,5,19,35,33,8
1501776000,6,21,30,32,11
1502035200,2,12,30,43,13
1502121600,9,33,34,20,4
1502208000,8,28,28,27,9
1502294400,10,30,33,22,5
1502380800,6,21,36,29,7
1502467200,2,10,46,32,10
1502640000,10,32,31,23,4
1502726400,9,29,34,22,5
1502812800,10,28,36,21,5
1502899200,9,26,38,22,4
1502985600,5,22,38,27,8
1503072000,8,32,43,16,1
1503158400,4,16,31,39,11
1503244800,7,24,34,27,8
1503331200,7,24,34,29,7
1503417600,8,29,38,21,4
1503504000,10,28,32,25,6
1503590400,6,22,31,30,11
1503676800,5,21,37,29,8
1503849600,4,15,33,38,11
1503936000,5,20,41,27,7
1504022400,12,26,30,24,8
1504108800,4,14,31,36,15
1504195200,10,36,32,20,2
1504281600,1,5,12,51,31
1504454400,2,8,17,49,24
1504540800,9,26,23,31,12
1504627200,6,22,33,29,10
1504713600,10,34,32,21,4
1504800000,4,15,50,26,5
1505059200,12,31,41,14,2
1505145600,8,27,34,24,6
1505232000,13,34,28,22,4
1505318400,4,15,45,29,7
1505404800,7,18,29,34,12
1505577600,15,42,27,15,1
1505664000,7,27,41,22,3
1505750400,9,23,31,28,9
