date,feature1,feature2,feature3,publication_date,negative,positive,close,change
1499011200,64.7606823,-12.69943036,-9240861.527,1499011200,65,-13,101.42,0.55
1499184000,48.69485395,-18.66592258,-6735494.527,1499184000,49,-19,101.135,-0.44
1499270400,37.70813691,-23.6771949,-4259477.527,1499270400,38,-24,101.08,0.25
1499356800,28.78880943,-24.05338851,-6408455.027,1499356800,29,-25,101.18,-0.56
1499616000,3.216197689,-26.09884674,-9459989.527,1499616000,4,-27,101.34,0.72
1499702400,-10.1188659,-26.27824133,-9169137.027,1499702400,-11,-27,101.255,-1.55
1499788800,-21.25739995,-26.21882954,-7800926.027,1499788800,-22,-27,101.685,0.29
1499875200,-35.303834,-26.49572866,-6396029.027,1499875200,-36,-27,102.34,0.5
1499961600,-42.63201264,-26.59101304,-2337448.527,1499961600,-43,-27,101.93,0.85
1500220800,-47.14898157,-24.69340243,-1570403.027,1500220800,-48,-25,101.23,1.88
1500307200,-51.70789274,-23.41330988,-1286798.027,1500307200,-52,-24,99.815,-0.11
1500393600,-53.30765587,-21.63743583,-980640.5271,1500393600,-54,-22,98.895,0.9
1500480000,-59.55984468,-25.47701081,6982223.973,1500480000,-60,-26,98.48,-0.34
1500566400,-64.61523167,-32.48436933,19132653.97,1500566400,-65,-33,98.185,0.05
1500825600,-48.58641661,-22.6231919,8649554.473,1500825600,-49,-23,98.335,-0.34
1500912000,-38.15924545,-12.97393895,-3699646.027,1500912000,-39,-13,98.485,1.12
1500998400,-37.33343781,-10.82272404,-6270942.527,1500998400,-38,-11,98.08,-0.1
1501084800,-19.77666922,-11.84374266,1141826.973,1501084800,-20,-12,97.55,1.19
1501171200,13.45067578,-7.899346721,2169050.473,1501171200,14,-8,96.98,0.17
1501430400,45.33007806,-0.703413767,-4453032.527,1501430400,46,-1,96.27,-0.93
1501516800,67.98047258,-0.476900221,-3194427.527,1501516800,68,-1,96.665,0.24
1501603200,75.42719794,-4.757785207,-1744875.527,1501603200,76,-5,97.235,-0.68
1501689600,75.38125131,-8.471521266,-3049608.527,1501689600,76,-9,97.675,0.32
1501776000,69.46148459,-11.18533937,-5009711.527,1501776000,70,-12,97.865,-0.2
1502035200,61.16388409,-14.53743602,-4764083.027,1502035200,62,-15,97.805,0.93
1502121600,54.94351212,-16.84314716,-5031265.527,1502121600,55,-17,97.425,1.08
1502208000,42.11711661,-21.22171506,-3277401.027,1502208000,43,-22,96.375,-0.39
1502294400,52.05421267,-20.02009362,-1932464.027,1502294400,53,-21,96.015,1.02
1502380800,56.09034159,-19.62130367,-2317331.527,1502380800,57,-20,95.69,1.04
1502640000,21.8762484,-24.69856467,-4636266.027,1502640000,22,-25,94.615,0.54
1502726400,-6.602578567,-26.78745658,-5767402.527,1502726400,-7,-27,93.79,-1.43
1502812800,-17.38054613,-24.99056678,-6740497.527,1502812800,-18,-25,94.255,1.42
1502899200,-7.962668752,-21.33753322,-4842439.027,1502899200,-8,-22,94.26,-2.2
1502985600,15.36964113,-15.94972959,-4536894.527,1502985600,16,-16,94.67,1.5
1503244800,34.20272286,-11.37199209,-7158270.527,1503244800,35,-12,95.04,1.87
1503331200,35.31695875,-10.59612818,-9367179.027,1503331200,36,-11,93.285,-0.78
1503417600,27.893124,-11.19703503,-11351309.03,1503417600,28,-12,92.715,-2.14
1503504000,32.41825227,-11.23063785,-9974005.027,1503504000,33,-12,94.235,0.34
1503590400,37.5370283,-10.25585465,-10460108.03,1503590400,38,-11,95.175,-1.06
1503849600,38.53235987,-9.612582159,-11724391.53,1503849600,39,-10,95.555,-0.32
1503936000,32.60543358,-11.20795382,-12382351.03,1503936000,33,-12,96.275,0.35
1504022400,9.711793875,-16.24562009,-11218308.03,1504022400,10,-17,96.255,1.82
1504108800,-21.17538902,-24.73493528,-3131093.527,1504108800,-22,-25,95.12,1.04
1504195200,-25.51459024,-23.86015342,-711913.5271,1504195200,-26,-24,93.625,-0.48
1504540800,-7.916147166,-17.27556978,-3417127.027,1504540800,-8,-18,93.33,1.65
1504627200,10.64686747,-11.7357292,-6017315.027,1504627200,11,-12,92.72,-0.98
1504713600,11.35239893,-10.17421882,-8402907.027,1504713600,12,-11,92.37,2.02
1504800000,3.192650193,-11.20921134,-9318891.527,1504800000,4,-12,91.825,0.52
1505059200,-7.815226101,-12.89158679,-9099300.027,1505059200,-8,-13,90.5,-2.06
1505145600,-17.96881079,-13.60941779,-9253783.027,1505145600,-18,-14,91.305,0.05
1505232000,-24.22410616,-12.04800134,-11518573.53,1505232000,-25,-13,92.355,2.51
1505318400,-26.44625282,-11.32728657,-10872470.53,1505318400,-27,-12,91.02,1.14
1505404800,-33.07020228,-18.94959041,1631365.473,1505404800,-34,-19,89.115,-2.64
1505664000,-33.51396901,-20.13764517,5440640.473,1505664000,-34,-21,89.895,1.8
1505750400,-18.39466708,-9.447986568,-5868841.527,1505750400,-19,-10,90.33,-0.08
1505836800,-6.046063678,-6.451028714,-7126799.527,1505836800,-7,-7,89.43,-4.13
1505923200,28.01898059,-1.481750453,-5425148.527,1505923200,29,-2,91.625,6.33
1506009600,60.00250307,3.824416076,-8772290.527,1506009600,61,4,90.48,-2.5
1506268800,72.74020558,0.535944678,-6284115.027,1506268800,73,1,88.485,-2.58
1506355200,84.84701491,-2.246428228,-4322029.527,1506355200,85,-3,91.135,-0.62
1506441600,85.03968433,-4.553742874,-6614043.527,1506441600,86,-5,92.805,0.23
1506528000,77.65811932,-6.61703623,-10181938.53,1506528000,78,-7,93.01,-1.64
1506614400,61.85961823,-10.34006904,-11424949.03,1506614400,62,-11,93.745,0.4
1506873600,37.17452126,-16.19253217,-9214461.527,1506873600,38,-17,94.39,0.32
1506960000,25.29582597,-15.76371775,-11658817.03,1506960000,26,-16,94.015,-0.54
1507046400,10.41096199,-17.03679865,-12652357.53,1507046400,11,-18,94.13,-2.26
1507132800,-16.34380095,-22.39851442,-8149928.527,1507132800,-17,-23,95.59,0.22
1507219200,-34.02690538,-21.99871342,-7828862.027,1507219200,-35,-22,96.655,2.02
1507478400,-38.49373796,-16.18717019,-12733241.53,1507478400,-39,-17,95.485,0.55
1507564800,-39.42324704,-12.8759713,-12740876.03,1507564800,-40,-13,94.145,0.52
1507651200,-40.78512419,-11.8233764,-10739678.03,1507651200,-41,-12,93.59,-0.31
1507737600,-43.51124256,-11.09964391,-9273681.527,1507737600,-44,-12,93.48,0.57
1507824000,-43.33614708,-8.476080951,-9300259.527,1507824000,-44,-9,93.345,0.19
1508083200,-41.17844077,-4.893776848,-11548482.03,1508083200,-42,-5,92.95,-0.88
1508169600,-40.79417743,-4.460219977,-10804358.53,1508169600,-41,-5,93.31,-0.41
1508256000,-38.01982053,-3.431872324,-10344054.53,1508256000,-39,-4,93.985,-1.17
1508342400,-39.14598996,-2.694560871,-11209670.03,1508342400,-40,-3,94.81,1.3
1508428800,-45.68435084,-5.828608329,-6426807.527,1508428800,-46,-6,94.74,2.23
1508688000,-43.61122159,-5.489848308,-3659600.027,1508688000,-44,-6,92.895,0.23
1508774400,-35.05399121,-1.762153339,-6334222.027,1508774400,-36,-2,91.61,-1.18
1508860800,-23.38810168,0.063220954,-6442404.527,1508860800,-24,1,92.105,0.69
1508947200,-16.11806438,-3.39786252,859362.9729,1508947200,-17,-4,92.36,-0.63
1509033600,-30.01663193,-17.80012949,26187323.47,1509033600,-31,-18,92.33,1.77
1509292800,-30.38468309,-15.5415234,26005291.47,1509292800,-31,-16,91.735,1.34
1509379200,-12.90758331,-0.616372143,4015214.473,1509379200,-13,-1,90.32,0.67
1509465600,-4.034096836,2.85646754,-709426.5271,1509465600,-5,3,89.48,0.91
1509552000,-3.258759659,2.65444875,-2256241.527,1509552000,-4,3,88.655,3.02
1509638400,-6.940848222,2.906465152,-4593155.527,1509638400,-7,3,86.595,-4.39
1509897600,-10.77673472,3.525454225,-6659202.027,1509897600,-11,4,87.31,-1.64
1509984000,-13.54530185,3.305335603,-6506110.027,1509984000,-14,4,90.47,3.18
1510070400,-2.773115853,6.133390549,-7419451.027,1510070400,-3,7,89.665,-3.61
1510156800,7.689117786,6.310893786,-5800136.527,1510156800,8,7,89.89,-2.37
1510243200,14.18626246,5.886314252,-5118325.027,1510243200,15,6,93.02,-0.72
1510502400,23.37907553,8.60587392,-8609055.027,1510502400,24,9,94.635,2.17
1510588800,23.64543462,7.405661176,-8907311.527,1510588800,24,8,93.875,-1.13
1510675200,37.57902497,7.749802231,-6314208.527,1510675200,38,8,93.33,-0.13
1510761600,59.41433657,9.963087847,-5233473.527,1510761600,60,10,93.99,1.65
1510848000,73.58198289,9.152205558,-3885528.027,1510848000,74,10,93.195,0.49
1511107200,87.38561717,9.924091212,-6209414.027,1511107200,88,10,92.075,-0.08
1511193600,66.31994947,3.128547275,-6630183.527,1511193600,67,4,91.86,0.28
1511280000,38.17591974,-4.074005304,-4511128.027,1511280000,39,-5,91.755,1.54
1511452800,35.22054132,0.018908625,-11417053.53,1511452800,36,1,90.805,-0.1
1511712000,15.19235442,-2.523757648,-12560977.03,1511712000,16,-3,90.05,-0.04
1511798400,-16.97120267,-10.47379263,-5310799.027,1511798400,-17,-11,90.12,1.71
1511884800,-14.77509336,-9.094404579,-752865.5271,1511884800,-15,-10,89.245,-1.19
1511971200,-4.501702025,-8.635463061,4811478.473,1511971200,-5,-9,88.975,1.45
1512057600,-10.33548637,-9.945408394,5886989.973,1512057600,-11,-10,88.84,0.25
1512316800,9.52088802,-7.158487052,8907106.473,1512316800,10,-8,87.95,-0.38
1512403200,44.09191544,-1.253866987,7217170.973,1512403200,45,-2,88.02,-0.06
1512489600,50.82507884,0.768461364,750757.973,1512489600,51,1,88.25,0.09
1512576000,44.05496695,-1.063363982,-733099.0271,1512576000,45,-2,88.235,1.03
1512662400,26.79217179,-3.790991206,-1569573.027,1512662400,27,-4,87.65,0.73
1512921600,-6.240490224,-8.665166368,-1732919.527,1512921600,-7,-9,86.73,0.38
