date,feature1,feature2,feature3,senti_0,senti_1,senti_2,senti_3,senti_4,close,change
1499011200,1341767.819,4.572259321,27.12469921,800,2900,3100,2600,600,44.01,0.62
1499184000,1523147.319,5.501361484,23.9876362,800,2900,2500,2800,1000,44.35,0.06
1499270400,-1704651.181,0.327097374,39.16422363,1500,3200,3100,1900,400,44.315,0.23
1499356800,-6361787.181,-3.888935766,58.55020705,800,2100,2700,3500,1000,43.815,0.19
1499616000,-5738030.681,1.538670663,57.89209017,500,2500,3000,2900,1000,43.585,-0.15
1499702400,-3411496.681,8.464227668,50.04915567,1200,2900,2100,2800,900,43.565,-0.55
1499788800,-3952580.181,13.76393827,36.82473715,300,1600,3800,3200,1100,43.955,0.53
1499875200,-5449221.181,17.24999582,21.1134602,800,2900,3500,2300,400,43.965,0.08
1499961600,-5270466.181,20.43924017,1.935130457,100,600,4400,3400,1500,43.625,-0.07
1500220800,-4458486.181,22.00419854,-18.06483538,700,2600,2500,3300,800,43.62,0.86
1500307200,2217426.319,21.60654395,-29.65353168,1400,3800,3000,1600,200,43.185,-0.13
1500393600,4290479.319,17.67312278,-37.37534761,500,1700,2300,4100,1400,42.78,-0.11
1500480000,1169396.819,11.23713918,-42.1829559,800,2900,4000,2000,300,42.91,-0.26
1500566400,-2399010.181,4.420277029,-42.69235727,1000,3300,3000,2100,700,43.115,-0.28
1500825600,-5808965.181,-1.398446824,-41.50332604,700,2500,4100,2200,600,43.415,-0.1
1500912000,-3170577.681,-3.39655868,-40.8720936,200,800,2000,4900,2200,43.625,0.03
1500998400,-4168431.181,-10.05347087,-27.14828699,700,2600,4200,2200,400,43.665,-0.09
1501084800,-3594852.681,-18.2480991,2.510636624,900,2100,2900,3100,900,43.7,0.49
1501171200,442236.3187,-19.37718597,26.1845404,700,2600,3200,2800,600,43.48,-0.23
1501430400,13654457.32,-15.01363201,50.22212699,900,3200,2300,3100,400,43.335,-1.54
1501516800,17053304.32,-8.416432703,56.99861884,500,2300,3800,2800,600,44.31,-0.29
1501603200,5324900.319,-4.752431783,50.52896516,700,2600,3700,2600,400,45.32,-0.2
1501689600,716899.8187,-1.811187952,50.88478819,500,1900,3500,3300,800,45.59,-0.21
1501776000,-2884120.181,4.331036722,39.09993579,600,2100,3000,3200,1100,45.815,-0.34
1502035200,-4668252.181,10.81127542,20.64410803,200,1200,3000,4300,1300,46.115,0.24
1502121600,-3224889.681,13.21291658,10.82396491,900,3300,3400,2000,400,46.17,0.3
1502208000,-2316935.181,11.36551547,10.71980465,800,2800,2800,2700,900,45.875,-0.02
1502294400,-3624870.681,2.362671888,33.81256643,1000,3000,3300,2200,500,45.72,0.39
1502380800,-4015450.681,-0.037731438,47.95432559,600,2100,3600,2900,700,45.515,0.78
1502640000,-1051540.681,11.78383615,22.83347103,1000,3200,3100,2300,400,44.87,0.53
1502726400,997170.3188,20.76814699,-8.909918597,900,2900,3400,2200,500,44.15,-0.88
1502812800,-2445171.181,20.79551594,-31.84537022,1000,2800,3600,2100,500,44.345,0.49
1502899200,-4266720.181,7.323048195,-11.99638792,900,2600,3800,2200,400,44.56,-0.38
1502985600,-2660786.181,-9.207887432,38.27297866,500,2200,3800,2700,800,44.5,0.45
1503244800,-2365347.681,-11.99967827,64.77424035,700,2400,3400,2700,800,44.46,0.45
1503331200,-1551021.181,-3.535357969,61.90903947,700,2400,3400,2900,700,43.96,-0.03
1503417600,-1114927.681,3.891077588,54.98193995,800,2900,3800,2100,400,43.725,-0.46
1503504000,-1609544.181,7.991979656,50.87506452,1000,2800,3200,2500,600,43.995,0.15
1503590400,-550698.6813,13.75496014,38.86410853,600,2200,3100,3000,1100,44.17,-0.43
1503849600,-172930.1813,17.34428869,26.0659372,400,1500,3300,3800,1100,44.325,-0.06
1503936000,-3139879.181,19.8676952,6.518939163,500,2000,4100,2700,700,44.595,0.04
1504022400,-3138767.681,22.55242727,-16.68564487,1200,2600,3000,2400,800,44.61,1.17
1504108800,-4037501.681,21.49141371,-36.10827285,400,1400,3100,3600,1500,43.945,0.27
1504195200,-5638627.681,17.49178754,-50.43408265,1000,3600,3200,2000,200,43.15,-0.31
1504540800,-2394049.181,7.383422149,-37.79371112,900,2600,2300,3100,1200,43.17,0.82
1504627200,-683724.6812,-2.22206509,-17.80803752,600,2200,3300,2900,1000,42.885,-0.07
1504713600,-441432.6812,-6.271247418,-6.450567567,1000,3400,3200,2100,400,42.47,1.21
1504800000,1574975.819,-11.73213687,18.11519027,400,1500,5000,2600,500,41.84,0.4
1505059200,6288525.319,-6.033006997,18.2548998,1200,3100,4100,1400,200,40.95,-0.99
1505145600,8091438.319,5.824370734,-10.78304305,800,2700,3400,2400,600,41.275,0.56
1505232000,7045870.819,6.679281874,-22.00222207,1300,3400,2800,2200,400,41.51,0.14
1505318400,6382027.319,2.573392497,-19.14553039,400,1500,4500,2900,700,41.29,0.33
1505404800,9719130.319,3.61022578,-24.79039278,700,1800,2900,3400,1200,41.195,-1.69
1505664000,23227780.32,7.424652035,-28.43770967,700,2700,4100,2200,300,41.95,1.11
1505750400,23180283.32,4.67396217,-30.59558883,900,2300,3100,2800,900,42.275,-0.92
1505836800,11140650.82,-0.853208564,-37.55636833,500,2200,3100,3200,1000,42.17,-1.24
1505923200,7658200.819,-4.236751443,-38.70010813,900,2400,3400,2600,800,43.37,1.47
1506009600,8066833.319,-5.86164433,-38.66112621,1000,2500,3100,2500,800,43.24,-0.58
1506268800,7961278.819,-6.105179313,-42.76872309,1100,3200,3100,2100,500,42.745,-1.11
1506355200,3345742.819,-8.898176526,-44.909868,900,3000,3100,2400,600,43.69,-0.05
1506441600,-9764.681225,-13.99704828,-36.06726018,800,3000,3100,2400,700,44.34,0.09
1506528000,2093189.819,-17.73728216,-18.69619327,500,2100,3700,2800,1000,44.32,-0.67
1506614400,18752832.82,-13.25144822,-2.861980082,900,2300,2500,3100,1200,44.64,-0.29
1506873600,17145991.82,-9.297539149,-8.06458299,1100,2500,3100,2600,800,45.17,0.04
1506960000,-347987.1812,-9.556269738,-24.42808057,900,2600,3400,2500,600,45.305,0.11
1507046400,-402564.1812,-10.90193551,-18.6893219,600,2000,2800,3500,1200,45.22,-0.35
1507132800,-1823179.681,-15.98321876,0.597607884,700,2300,3300,2800,900,45.355,0.16
1507219200,-2413322.181,-15.12108634,9.1159346,600,2400,3400,2600,900,45.46,0.93
1507478400,-1420458.181,-8.234376808,0.352696114,700,2600,3800,2300,600,44.855,0.13
1507564800,-1518705.681,-6.327305931,-0.119617683,500,1900,3000,3600,1000,44.27,-0.08
1507651200,-696513.6813,-7.610623483,10.10135421,600,2500,2700,3000,1200,44.245,-0.21
1507737600,-662903.1813,-10.98127643,30.07491562,900,2900,3100,2500,700,44.405,0.41
1507824000,2796151.319,-10.09577844,47.50621542,600,2200,3300,2900,1000,44.29,0.23
1508083200,7822481.819,-1.061304584,42.84709716,600,2100,2800,3500,1000,43.93,-0.88
1508169600,6841063.819,5.585633064,30.64244019,800,2700,3200,2800,500,44.29,-0.23
1508256000,4473563.819,8.247177892,22.07575123,800,2700,2900,2800,800,44.91,-0.29
1508342400,4916510.819,11.79696575,9.793733426,1000,1900,2300,3300,1400,45.2,1.22
1508428800,4097569.819,16.14745838,-12.79180708,800,2000,2100,3800,1400,44.68,0.95
1508688000,3155825.319,14.91371965,-25.3452016,700,2700,3600,2400,600,43.47,-0.33
1508774400,4514709.819,12.51118807,-32.98385659,700,2500,3400,2700,700,43.125,-0.67
1508860800,6074324.319,7.934239641,-32.81108403,800,2200,3000,2900,1100,43.685,-0.24
1508947200,11458482.32,1.680525009,-18.09075473,500,1900,3400,3300,900,44.195,0.22
1509033600,33088779.32,4.219725355,-3.172567688,300,1300,2400,4100,1900,44.205,1.79
1509292800,35372939.82,1.302355008,7.68388834,900,3000,2700,2500,900,43.085,0.77
1509379200,14738750.82,-7.081681247,11.82567831,300,1300,3700,3900,800,41.66,0.57
1509465600,11926192.32,-2.751998419,2.240012837,800,2600,3300,2600,600,40.915,0.96
1509552000,22078761.82,0.453600789,7.902287477,800,2400,3200,2700,900,40.065,0.68
1509638400,24464427.32,-0.162817355,15.97157831,1000,3400,3400,2000,300,39.15,-1.41
1509897600,15157737.32,0.657468234,6.185431009,700,2300,2400,3600,1000,39.555,0.15
1509984000,21252483.82,2.593386867,9.373096683,600,2300,3400,2900,800,40.255,1.25
1510070400,31106851.32,6.537866294,10.36045872,700,2700,4000,2300,300,39.475,-1.93
1510156800,17133174.82,-0.857970774,16.58408693,1200,2100,3400,2700,700,39.855,-0.69
1510243200,4007642.319,-9.653895374,35.15454944,500,2100,3200,3100,1100,41.315,0.14
1510502400,8651587.819,-7.615870126,50.71091614,800,2700,3400,2500,600,41.62,-0.64
1510588800,10074303.32,-2.753180176,54.87221167,700,2400,3800,2500,600,41.895,-0.54
1510675200,3631191.319,2.825192418,43.43105749,1000,2800,3400,2300,500,42.55,0.26
1510761600,824425.8187,10.36495397,22.47981683,500,1800,3900,2900,900,42.705,0.59
1510848000,-1384755.181,15.30102327,0.065952266,800,2200,3100,3000,1000,42.23,-0.24
1511107200,273147.3188,18.10253428,-19.36762864,500,1900,3100,3500,1100,42.035,0.06
1511193600,2661650.819,18.26549973,-35.68369476,600,2400,4000,2400,600,42.135,0.4
1511280000,811102.8188,12.62394878,-41.73878373,1000,2600,3400,2400,700,41.88,0.33
1511452800,1109864.319,6.844382817,-41.71815474,1300,2700,2100,3300,600,41.475,-0.01
1511712000,-582609.1812,2.806085179,-45.88085191,700,2300,3100,2900,1100,41.295,0.09
1511798400,-660064.6812,0.744216446,-52.7583158,400,1600,3800,3200,1000,41.25,0.59
1511884800,5957333.319,-2.865744625,-45.49909712,800,2200,3700,2600,700,40.87,-0.3
1511971200,5629025.819,-9.986454766,-30.40747008,900,3100,3100,2500,400,40.705,0.69
1512057600,49331.81877,-13.29268568,-26.25713463,400,2000,4900,2400,300,40.485,0.17
1512316800,-2099414.181,-12.170074,-29.55551133,800,2700,3200,2600,600,40.005,0.2
1512403200,-2217307.681,-13.9124562,-22.06548015,700,3000,3600,2100,600,39.8,-0.22
1512489600,-3662835.681,-16.22030264,-11.17995016,700,2000,3700,2800,800,39.815,0.37
1512576000,-2093654.681,-14.87680329,-4.443566983,400,1900,4200,2800,600,39.735,0.49
1512662400,-18959.18125,-11.88741336,-1.976211808,1800,3400,2900,1600,300,39.26,0.1
1512921600,2454974.319,-4.865593329,-14.48802868,400,1900,3900,2900,900,39.08,0.28
1513008000,2157123.819,-0.495274591,-29.95855705,600,1900,2200,3700,1700,39.015,0.5
1513094400,-6319075.181,-3.040353695,-39.7495059,1100,2800,3100,2400,600,38.58,-0.26
1513180800,-11983031.18,-8.962106964,-35.12122658,800,2700,2800,2800,900,38.445,0.03
1513267200,-13003324.68,-11.48905056,-30.61448596,500,2000,3200,3300,1100,38.575,0.07
1513526400,-13314156.18,-10.66721986,-33.70985117,800,2700,3300,2700,500,38.52,-0.06
1513612800,-12864862.18,-12.96721977,-26.43686869,500,2000,4700,2400,400,38.515,0.02
